number,company,symbol,ytd_return
414,Dexcom,DXCM,-14.63
415,Pool Corporation,POOL,-14.70
416,Mid-America Apartment Communities,MAA,-14.99
417,Jack Henry & Associates,JKHY,-15.18
418,Stanley Black & Decker,SWK,-15.34
419,Avery Dennison,AVY,-15.49
420,PPG Industries,PPG,-15.49
421,FedEx,FDX,-15.54
422,Merck & Co.,MRK,-15.58
423,Weyerhaeuser,WY,-15.72
424,ON Semiconductor,ON,-15.79
425,Revvity,RVTY,-15.80
426,ServiceNow,NOW,-15.84
427,DaVita,DVA,-15.85
428,Prudential Financial,PRU,-15.87
429,Carrier Global,CARR,-16.11
430,Ingersoll Rand,IR,-16.20
431,Verisk Analytics,VRSK,-16.41
432,HP Inc.,HPQ,-16.61
433,Church & Dwight,CHD,-16.65
434,Intuitive Surgical,ISRG,-17.00
435,Occidental Petroleum,OXY,-17.20
436,"UDR, Inc.",UDR,-17.28
437,Texas Pacific Land Corporation,TPL,-17.30
438,AvalonBay Communities,AVB,-17.72
439,PG&E Corporation,PCG,-17.74
440,Fidelity National Information Services,FIS,-17.74
441,Molson Coors Beverage Company,TAP,-17.86
442,Kraft Heinz,KHC,-17.99
443,Corpay,CPAY,-18.00
444,Skyworks Solutions,SWKS,-18.24
445,Becton Dickinson,BDX,-18.33
446,West Pharmaceutical Services,WST,-18.55
447,Fair Isaac,FICO,-18.63
448,Targa Resources,TRGP,-19.08
449,Viatris,VTRS,-19.16
450,LKQ Corporation,LKQ,-19.54
451,Halliburton,HAL,-19.79
452,Regeneron Pharmaceuticals,REGN,-20.05
453,KKR,KKR,-20.82
454,IDEX Corporation,IEX,-21.14
455,Old Dominion,ODFL,-21.15
456,Cooper Companies (The),COO,-21.77
457,Baxter International,BAX,-21.81
458,Comcast,CMCSA,-22.10
459,PayPal,PYPL,-22.60
460,Akamai Technologies,AKAM,-22.85
461,Alexandria Real Estate Equities,ARE,-22.87
462,Bristol Myers Squibb,BMY,-23.46
463,Smurfit WestRock,SW,-23.48
464,Copart,CPRT,-23.58
465,Hormel Foods,HRL,-23.99
466,Zebra Technologies,ZBRA,-24.20
467,Erie Indemnity,ERIE,-24.33
468,General Mills,GIS,-25.07
469,Global Payments,GPN,-25.34
470,Charter Communications,CHTR,-25.68
471,International Flavors & Fragrances,IFF,-26.04
472,Adobe Inc.,ADBE,-26.15
473,Apollo Global Management,APO,-26.17
474,Brown–Forman,BF.B,-26.30
475,Salesforce,CRM,-26.57
476,Campbell Soup Company,CPB,-27.05
477,Clorox,CLX,-27.25
478,Edison International,EIX,-28.97
479,UnitedHealth Group,UNH,-29.70
480,Chipotle Mexican Grill,CMG,-31.10
481,United Parcel Service,UPS,-32.28
482,ONEOK,OKE,-32.70
483,Accenture,ACN,-32.77
484,Target Corporation,TGT,-33.61
485,Eastman Chemical Company,EMN,-33.62
486,Kenvue,KVUE,-33.75
487,Conagra Brands,CAG,-34.27
488,Moderna,MRNA,-34.73
489,Molina Healthcare,MOH,-34.96
490,GoDaddy,GDDY,-35.15
491,Constellation Brands,STZ,-37.05
492,Align Technology,ALGN,-37.89
493,LyondellBasell,LYB,-38.53
494,EPAM Systems,EPAM,-39.06
495,Centene Corporation,CNC,-40.68
496,FactSet,FDS,-42.31
497,Fiserv,FI,-42.48
498,Dow Inc.,DOW,-45.77
499,CarMax,KMX,-47.33
500,Gartner,IT,-51.29
501,Deckers Brands,DECK,-51.53
502,Lululemon Athletica,LULU,-57.10
503,"The Trade Desk, Inc.",TTD,-57.71
